,Area,Bairro,CEP,Cidade,DataAtualizacaoHumanizada,Endereco,Estado,FormatarSubTipoImovel,FormatarSubTipoOferta,Latitude,Longitude,PrecoCondominio,QuantidadeQuartos,QuantidadeSuites,QuantidadeVagas,SubTipo,SubTipoOferta,Tipo,UrlFicha,Valor,ValorIPTU,DataAtualizacaoEmDias,PrecoPorMetro
13,60,Murta,88311289,Itajaí,ontem,Rua Itamar Bruno de Carvalho,SC,APARTAMENTO EM MURTA,Apartamento em MurtaApartamento em Murta para aluguel,-26.8785422,-48.7003168,0.0,2,0,1,1,Apartamento em Murta,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos--murta-itajai-sc-60m2-id-2456373158?paginaoferta=112,950.0,0.0,1,15.833333333333334
14,32,Centro,88301320,Itajaí,há 3 dias,Rua Samuel Heusi,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.9053113,-48.6614242,0.0,0,0,1,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-centro-itajai-sc-32m2-id-2456047675?paginaoferta=91,1100.0,0.0,3,34.375
15,85,Centro,88303020,Itajaí,ontem,Rua Anita Garibaldi,SC,APARTAMENTO EM CENTRO,Apartamento em CentroApartamento em Centro para aluguel,-26.9094372,-48.6665476,343.0,3,1,1,1,Apartamento em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-centro-itajai-sc-85m2-id-2452106929?paginaoferta=92,1300.0,0.0,1,15.294117647058824
16,400,São João,88305100,Itajaí,há 17 dias,Rua Blumenau,SC,GALPÃO/DEPÓSITO/ARMAZÉM EM SÃO JOÃO,Galpão/Depósito/Armazém em São JoãoGalpão/Depósito/Armazém em São João para aluguel,-26.901291,-48.6682099,0.0,0,0,1,1,Galpão/Depósito/Armazém em São João,1,http://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem--s-joao-itajai-sc-400m2-id-2175515704?paginaoferta=84,4000.0,0.0,17,10.0
17,750,São João,88305100,Itajaí,há 17 dias,Rua Blumenau,SC,GALPÃO/DEPÓSITO/ARMAZÉM EM SÃO JOÃO,Galpão/Depósito/Armazém em São JoãoGalpão/Depósito/Armazém em São João para aluguel,-26.8919697,-48.6760306,0.0,0,0,1,1,Galpão/Depósito/Armazém em São João,1,http://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem--s-joao-itajai-sc-750m2-id-2174645823?paginaoferta=84,6700.0,0.0,17,8.933333333333334
18,30,Centro,88301300,Itajaí,ontem,Avenida Coronel Marcos Konder,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.909829,-48.6606765,150.0,0,0,0,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala--centro-itajai-sc-30m2-id-2212295556?paginaoferta=80,950.0,46.0,1,31.666666666666668
19,45,Praia Brava,,Itajaí,há 17 dias,,SC,LOFT EM PRAIA BRAVA,Loft em Praia BravaLoft em Praia Brava para aluguel,-26.9105564,-48.6709919,120.0,1,0,1,1,Loft em Praia Brava,1,http://www.zapimoveis.com.br/imovel/aluguel-loft-1-quarto-praia-brava-itajai-sc-45m2-id-2452534795?paginaoferta=81,1300.0,0.0,17,28.88888888888889
20,41,Centro,88302201,Itajaí,há 17 dias,Rua Uruguai,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.9110413,-48.662782,296.0,0,0,0,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala--centro-itajai-sc-41m2-id-2219955605?paginaoferta=80,1200.0,0.0,17,29.26829268292683
21,56,Espinheiros,88317200,Itajaí,ontem,Rua Fermino Vieira Cordeiro,SC,APARTAMENTO EM ESPINHEIROS,Apartamento em EspinheirosApartamento em Espinheiros para aluguel,0.0,0.0,205.0,2,0,1,1,Apartamento em Espinheiros,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-espinheiros-itajai-sc-56m2-id-2450272099?paginaoferta=81,950.0,0.0,1,16.964285714285715
22,54,Cordeiros,88310641,Itajaí,ontem,Rua José Rosa,SC,APARTAMENTO EM CORDEIROS,Apartamento em CordeirosApartamento em Cordeiros para aluguel,-26.894258,-48.703428,209.0,2,0,1,1,Apartamento em Cordeiros,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-cordeiros-itajai-sc-54m2-id-2454064676?paginaoferta=134,950.0,26.0,1,17.59259259259259
